Country Name,2012,2013,2014,2015
Saudi Arabia,0.0321927,0.0301615,0.031886,0.0422135
Senegal,0.2282826,0.2588902,0.2690778,0.3227046
Serbia,0.3111524,0.3413007,0.3846824,0.4487599
Sierra Leone,0.0915404,0.0898323,0.111462,0.1273597
Singapore,4.194717,4.607041,5.13565,5.288762
Slovak Republic,1.512679,1.573255,1.529921,1.322109
Slovenia,1.647107,1.516862,1.418987,1.456597
South Africa,9.858619,10.42977,10.63751,10.66391
Spain,2.578414,2.527863,2.432864,2.372609
Sri Lanka,0.4291699,0.4344854,0.4304124,0.4902979
St. Lucia,1.072174,1.042161,1.023274,1.07518
St. Vincent and the Grenadines,0.744664,0.7612208,0.853362,0.935928
Sudan,0.0226595,0.0173716,0.0128744,0.0118609
Suriname,0.4580413,0.5155801,0.4604321,0.6901349
Sweden,4.93368,5.25737,4.902327,5.219934
Switzerland,4.796105,4.944435,4.851223,4.830324
Syrian Arab Republic,0.0069815,0.0073289,0.0067058,0.0061288
"Taiwan, China",14.63784,14.62919,14.78802,14.90241
Tanzania,0.0700621,0.0772977,0.0731515,0.0727966
Thailand,3.118893,3.376539,3.726557,3.838548
Togo,0.7809858,0.7703059,0.8699035,0.7976809
Trinidad and Tobago,1.500443,1.53782,1.190127,2.147587
Tunisia,0.2946205,0.3026879,0.3099526,0.4179003
Turkey,0.1713736,0.186086,0.159599,0.1599685
Uganda,0.0506485,0.0614269,0.0681081,0.0995778
Ukraine,0.1288253,0.1690359,0.1361009,0.1099626
United Arab Emirates,0.4331555,0.490739,0.5839575,0.7214515
United Kingdom,10.07431,9.159318,8.754831,8.351685
United States,3.299545,2.938325,2.872533,2.847663
Uruguay,0.5458754,0.6025947,0.6717282,0.8017176
Uzbekistan,0.0073427,0.0081887,0.0121448,0.0158465
"Venezuela, RB",0.1253704,0.1223195,0.123751,0.124222
Vietnam,0.5668527,0.6508918,0.6939729,0.9127665
"Yemen, Rep.",0.0229988,0.0224915,0.0244051,0.0220426
Zambia,0.3491704,0.3276101,0.344746,0.3913834
